taz,rdm_zones,super_district,county
127,204,11,1
128,270,25,5
129,252,9,5
130,20,2,5
131,242,6,4
132,241,21,3
133,129,1,8
134,98,3,2
135,30,2,5
136,99,10,5
137,191,15,3
138,133,5,6
139,257,8,5
140,197,20,9
141,150,17,8
142,53,4,9
143,166,26,2
144,212,20,1
145,23,6,4
146,222,4,7
147,116,19,5
148,167,9,3
149,255,12,2
150,281,23,4
151,170,21,5
152,260,6,1
153,144,21,7
154,116,24,1
155,84,5,5
156,104,25,9
157,241,17,3
158,55,28,1
159,267,13,2
160,110,18,4
161,280,5,6
162,254,26,7
163,48,30,1
164,254,28,4
165,238,31,9
166,146,23,5
167,26,11,5
168,13,7,5
169,279,19,4
170,266,2,5
171,59,25,3
172,277,28,8
173,160,26,7
174,218,23,4
175,241,7,2
176,184,11,3
177,20,9,3
178,211,29,9
179,162,6,6
180,291,18,5
181,5,16,8
182,27,5,2
183,170,3,8
184,84,8,9
185,58,16,2
186,183,28,2
187,179,21,5
188,13,27,6
189,205,13,6
190,59,9,4
191,296,27,5
192,69,19,2
193,26,28,1
194,40,6,7
195,59,31,2
196,68,31,3
197,157,16,9
198,16,6,1
199,76,7,3
200,170,13,2
201,106,2,8
202,22,20,9
203,109,31,9
204,298,14,4
205,191,12,2
206,134,20,9
207,146,25,1
208,7,16,1
209,220,31,9
210,59,6,3
211,235,31,4
212,158,6,5
213,233,18,8
214,221,1,2
215,183,5,9
216,216,27,4
217,22,2,5
218,246,6,7
219,66,2,3
220,230,10,6
221,77,10,9
222,89,22,9
223,172,31,5
224,108,16,2
225,93,6,1
226,168,2,8
227,159,4,6
228,254,32,3
229,95,30,1
230,130,5,4
231,177,15,5
232,119,19,6
233,300,31,1
234,231,17,1
235,111,11,5
236,66,1,5
237,41,2,1
238,51,11,8
239,64,3,8
240,1,7,5
241,120,16,6
242,33,11,9
243,297,23,8
244,129,6,5
245,249,24,7
246,90,19,7
247,191,11,1
248,251,21,9
249,277,24,3
250,172,5,1
251,53,4,1
252,197,8,1
253,103,5,7
254,94,14,4
255,286,4,4
256,236,1,5
257,105,2,4
258,271,21,9
259,251,32,1
260,33,17,6
261,187,24,4
262,131,15,2
263,14,9,7
264,274,5,5
265,297,27,9
266,221,18,8
267,193,2,1
268,234,20,6
269,75,7,7
270,56,26,6
271,252,8,9
272,250,1,4
273,181,27,6
274,11,14,5
275,109,21,4
276,191,11,6
277,78,32,8
278,299,18,8
279,154,7,3
280,99,1,3
281,256,9,7
282,214,10,2
283,280,4,9
284,132,3,5
285,275,16,5
286,256,32,6
287,81,3,1
288,273,29,7
289,258,26,4
290,273,22,5
291,154,14,2
292,178,14,8
293,252,32,5
294,60,27,8
295,253,9,1
296,230,13,6
297,23,17,9
298,290,26,5
299,48,12,7
300,159,4,8
301,148,24,1
302,49,31,8
303,281,6,4
304,195,32,8
305,300,10,3
306,287,14,8
307,22,17,1
308,224,15,3
309,88,28,3
310,178,14,5
311,159,21,9
312,283,3,1
313,178,10,4
314,12,4,4
315,52,3,2
316,180,32,6
317,286,28,6
318,119,15,8
319,180,22,8
320,229,21,8
321,67,15,9
322,137,21,4
323,226,31,6
324,172,11,1
325,256,26,1
326,53,16,7
327,86,11,1
328,208,26,3
329,202,13,7
330,89,8,2
331,109,16,1
332,188,28,2
333,250,12,9
334,273,30,6
335,249,32,7
336,177,28,7
337,222,17,6
338,80,30,1
339,174,32,3
340,154,19,1
341,212,6,8
342,152,24,2
343,217,7,3
344,145,8,1
345,189,28,1
346,156,31,9
347,171,9,6
348,250,14,9
349,77,3,2
350,296,4,8
351,300,3,4
352,212,3,3
353,274,12,9
354,259,31,5
355,121,17,5
356,267,15,9
357,14,2,5
358,102,27,6
359,274,14,8
360,283,1,1
361,284,11,2
362,194,28,7
363,200,14,1
364,163,3,7
365,45,24,4
366,73,24,6
367,300,16,1
368,98,10,9
369,14,3,7
370,145,2,2
371,232,26,1
372,229,21,8
373,210,22,8
374,226,4,6
375,159,8,4
376,70,15,6
377,3,23,3
378,211,14,1
379,87,2,5
380,82,29,6
381,204,24,2
382,140,26,1
383,34,23,5
384,64,28,2
385,45,30,8
386,108,12,7
387,10,3,8
388,212,23,5
389,58,27,6
390,238,21,5
391,44,29,6
392,51,14,5
393,30,18,7
394,214,7,5
395,224,9,2
396,51,22,4
397,28,19,4
398,225,30,3
399,44,15,4
400,204,11,3
401,248,25,6
402,279,2,4
403,181,3,2
404,192,28,7
405,132,28,7
406,85,32,8
407,148,2,5
408,24,20,5
409,110,23,7
410,109,30,5
411,82,21,4
412,246,26,6
413,281,24,2
414,27,10,6
415,274,3,4
416,287,12,7
417,54,32,9
418,152,13,8
419,62,27,8
420,220,20,6
421,227,29,4
422,203,15,8
423,28,7,4
424,121,31,9
425,37,15,8
426,188,20,7
427,58,10,8
428,231,11,2
429,6,25,1
430,201,17,5
431,74,26,4
432,95,32,2
433,203,9,3
434,296,20,4
435,266,30,8
436,72,15,1
437,124,13,1
438,171,25,3
439,89,2,7
440,224,28,6
441,270,32,5
442,113,10,1
443,179,18,4
444,255,28,5
445,182,4,2
446,104,32,5
447,145,11,5
448,40,28,8
449,45,16,4
450,95,18,4
451,18,30,5
452,23,25,6
453,37,12,2
454,35,18,8
455,6,19,9
456,183,23,2
457,3,3,3
458,300,10,2
459,68,12,3
460,151,21,8
461,49,21,1
462,38,19,8
463,40,22,9
464,272,31,4
465,291,14,2
466,28,21,3
467,9,15,7
468,264,15,1
469,51,29,8
470,277,11,4
471,50,31,2
472,275,30,7
473,286,11,1
474,224,22,3
475,147,32,7
476,109,16,8
477,106,23,7
478,239,8,9
479,121,17,6
480,161,25,7
481,27,18,7
482,220,21,4
483,221,25,5
484,244,1,8
485,232,14,4
486,222,28,1
487,72,29,5
488,156,6,8
489,175,15,8
490,220,8,8
491,299,16,9
492,295,32,8
493,233,10,5
494,58,15,7
495,138,11,9
496,250,21,3
497,105,8,8
498,283,31,3
499,173,19,9
500,255,12,1
501,78,6,6
502,63,4,9
503,212,23,3
504,132,20,8
505,2,11,2
506,156,2,3
507,196,28,6
508,232,8,7
509,108,24,3
510,300,19,1
511,115,4,2
512,213,21,4
513,122,8,9
514,77,18,5
515,130,25,1
516,235,24,5
517,64,18,7
518,81,9,5
519,255,5,1
520,205,15,5
521,273,13,2
522,295,10,1
523,11,22,6
524,254,6,1
525,207,11,7
526,101,4,1
527,250,11,3
528,296,12,1
529,232,12,8
530,270,4,2
531,297,11,7
532,177,11,9
533,19,15,5
534,217,26,2
535,213,31,3
536,94,15,8
537,20,28,6
538,89,14,1
539,252,5,5
540,96,15,6
541,171,5,3
542,219,27,1
543,282,7,5
544,285,1,4
545,254,6,1
546,196,16,4
547,66,4,5
548,246,3,4
549,191,3,8
550,105,24,8
551,111,3,4
552,237,1,3
553,235,3,3
554,121,32,1
555,105,19,5
556,146,17,6
557,8,22,9
558,242,7,7
559,168,18,7
560,185,16,1
561,195,15,3
562,121,13,3
563,94,15,6
564,272,22,4
565,269,25,6
566,232,17,8
567,183,28,6
568,155,26,9
569,251,13,3
570,117,17,2
571,40,7,9
572,195,22,5
573,291,4,2
574,44,17,7
575,3,26,6
576,184,7,8
577,229,26,9
578,209,23,3
579,21,13,7
580,208,12,4
581,258,21,6
582,69,23,6
583,118,1,4
584,71,32,8
585,107,29,2
586,24,22,5
587,271,25,9
588,189,14,9
589,57,23,2
590,130,23,2
591,274,8,8
592,4,5,1
593,102,15,7
594,20,25,1
595,100,15,9
596,30,12,5
597,136,16,6
598,122,32,7
599,224,32,4
600,41,18,3
601,216,30,7
602,239,25,8
603,221,26,5
604,147,14,9
605,94,2,4
606,225,19,9
607,274,29,9
608,215,5,2
609,29,17,1
610,14,10,8
611,285,16,2
612,259,22,1
613,71,16,1
614,95,25,2
615,184,27,4
616,174,29,1
617,56,13,3
618,50,11,4
619,47,22,6
620,8,17,7
621,110,4,6
622,10,17,4
623,103,20,9
624,245,15,6
625,75,16,7
626,87,18,1
627,32,31,8
628,134,25,4
629,28,10,4
630,68,17,7
631,190,9,3
632,197,13,2
633,75,7,3
634,250,15,9
635,127,18,3
636,72,12,3
637,284,10,2
638,87,10,8
639,244,23,3
640,105,6,4
641,300,8,8
642,298,2,2
643,241,5,7
644,166,32,4
645,61,19,1
646,285,19,6
647,237,10,8
648,108,15,9
649,97,14,4
650,267,17,3
651,262,3,1
652,254,21,1
653,154,28,1
654,203,29,4
655,194,22,3
656,144,22,2
657,131,24,1
658,160,25,7
659,210,21,5
660,212,22,3
661,139,6,7
662,265,14,4
663,269,13,7
664,9,27,1
665,286,31,2
666,116,24,4
667,16,2,5
668,255,18,9
669,248,3,5
670,79,4,9
671,104,17,2
672,117,7,9
673,6,21,4
674,70,32,9
675,6,1,2
676,45,23,2
677,24,8,3
678,146,21,6
679,40,25,5
680,87,12,3
681,271,4,3
682,68,5,7
683,186,14,3
684,265,15,7
685,290,9,5
686,42,4,7
687,105,20,6
688,187,2,4
689,41,12,8
690,285,27,3
691,231,3,5
692,94,18,4
693,140,21,8
694,254,1,1
695,168,22,5
696,43,7,4
697,14,19,2
698,202,9,9
699,60,8,4
700,139,18,8
701,109,12,5
702,75,5,3
703,288,19,7
704,290,32,4
705,275,21,9
706,279,25,2
707,46,5,5
708,243,23,1
709,277,21,7
710,22,2,3
711,296,5,3
712,4,15,2
713,34,31,7
714,135,25,5
715,136,19,6
716,2,1,5
717,36,1,4
718,74,27,5
719,101,2,6
720,38,13,5
721,240,10,7
722,72,8,5
723,227,21,3
724,9,9,8
725,225,28,4
726,161,3,7
727,183,8,2
728,229,31,5
729,127,13,7
730,286,21,8
731,95,13,1
732,40,28,8
733,255,13,4
734,296,31,7
735,234,12,3
736,111,5,4
737,85,32,2
738,80,14,3
739,28,6,6
740,36,16,8
741,224,32,8
742,225,14,1
743,295,30,9
744,234,32,8
745,32,28,4
746,249,15,5
747,167,6,3
748,3,22,2
749,212,7,4
750,56,3,3
751,272,4,5
752,225,31,1
753,57,24,4
754,270,16,8
755,126,4,2
756,272,16,9
757,217,5,6
758,10,6,7
759,6,9,5
760,58,26,3
761,257,27,2
762,132,14,4
763,246,22,7
764,167,7,1
765,96,24,2
766,54,8,7
767,289,23,4
768,215,28,3
769,178,18,7
770,61,13,4
771,164,25,6
772,173,30,6
773,287,22,9
774,259,16,9
775,268,18,3
776,236,6,4
777,192,5,3
778,282,12,6
779,282,9,9
780,209,13,4
781,205,24,6
782,284,9,7
783,21,10,2
784,287,16,8
785,78,17,7
786,149,31,2
787,55,7,6
788,83,2,9
789,294,19,8
790,18,23,2
791,203,6,2
792,222,5,2
793,83,2,1
794,297,26,1
795,139,10,2
796,285,16,7
797,45,20,6
798,287,19,6
799,277,5,1
800,125,19,7
801,151,30,8
802,222,32,2
803,253,8,7
804,245,30,7
805,252,24,8
806,239,4,9
807,115,8,6
808,269,13,9
809,188,11,2
810,289,11,8
811,198,15,3
812,247,31,4
813,211,13,7
814,112,31,6
815,287,30,1
816,261,19,3
817,56,2,2
818,86,24,8
819,61,10,8
820,165,31,8
821,236,24,3
822,298,26,6
823,157,11,7
824,283,12,8
825,72,28,9
826,215,12,1
827,280,19,3
828,90,15,6
829,82,20,2
830,195,11,8
831,212,2,1
832,45,27,7
833,242,4,8
834,270,15,5
835,68,23,2
836,119,18,9
837,129,24,6
838,76,31,6
839,151,12,8
840,142,8,8
841,89,32,6
842,122,16,3
843,263,4,1
844,278,5,6
845,152,11,9
846,90,1,1
847,263,11,2
848,259,10,3
849,135,11,2
850,3,25,9
851,11,10,8
852,43,2,4
853,255,18,4
854,92,29,7
855,54,31,9
856,111,12,9
857,222,20,5
858,180,18,3
859,175,26,4
860,80,17,9
861,39,21,4
862,212,1,9
863,217,31,1
864,152,26,3
865,14,12,3
866,6,19,4
867,183,8,5
868,180,30,2
869,113,31,5
870,100,20,8
871,137,20,7
872,6,6,9
873,105,11,8
874,89,29,2
875,283,11,3
876,157,20,8
877,274,14,7
878,291,32,4
879,277,31,8
880,103,15,1
881,42,4,1
882,5,4,9
883,114,9,8
884,78,29,4
885,47,5,5
886,130,21,3
887,253,19,2
888,6,19,9
889,228,5,2
890,6,13,9
891,164,9,3
892,249,16,2
893,185,7,8
894,146,29,6
895,180,15,1
896,152,2,8
897,30,2,3
898,98,18,9
899,105,16,1
900,228,23,4
901,267,19,9
902,203,31,9
903,57,14,1
904,141,1,7
905,78,6,8
906,158,5,6
907,27,16,4
908,34,24,4
909,290,9,6
910,225,13,8
911,167,20,5
912,74,6,5
913,36,25,3
914,202,22,3
915,191,16,5
916,225,6,1
917,81,27,4
918,240,20,5
919,152,14,8
920,280,5,8
921,180,11,9
922,227,25,2
923,22,25,8
924,13,2,3
925,162,28,3
926,71,5,4
927,237,26,7
928,66,9,6
929,140,11,6
930,186,2,5
931,148,19,1
932,57,6,7
933,26,5,4
934,74,17,3
935,103,32,2
936,120,19,8
937,117,4,5
938,62,31,3
939,109,22,5
940,83,17,3
941,117,28,1
942,297,20,2
943,205,20,1
944,147,3,4
945,129,13,2
946,147,29,5
947,34,2,8
948,79,15,7
949,293,3,4
950,183,8,5
951,184,32,2
952,179,6,8
953,41,20,3
954,123,17,1
955,91,22,6
956,41,8,6
957,232,28,8
958,67,13,2
959,216,2,1
960,147,21,9
961,44,8,4
962,126,16,5
963,31,23,7
964,224,15,1
965,183,13,9
966,27,13,4
967,156,4,4
968,25,26,2
969,50,7,6
970,73,17,5
971,107,26,8
972,88,2,1
973,256,13,4
974,12,20,3
975,121,8,3
976,296,27,6
977,5,21,8
978,131,27,3
979,233,6,2
980,287,22,5
981,75,5,1
982,56,11,6
983,81,18,7
984,115,30,4
985,222,10,3
986,55,13,5
987,190,14,8
988,176,28,6
989,266,11,5
990,197,3,1
991,245,18,5
992,24,9,5
993,179,19,3
994,43,32,4
995,299,25,4
996,70,5,1
997,59,30,4
998,237,24,3
999,80,13,2
1000,280,15,8
1001,219,27,4
1002,285,32,6
1003,177,3,2
1004,45,23,3
1005,105,30,7
1006,188,13,6
1007,261,29,3
1008,36,6,3
1009,253,29,1
1010,168,12,3
1011,4,12,3
1012,132,13,6
1013,174,12,3
1014,286,1,2
1015,137,13,4
1016,196,20,3
1017,150,19,6
1018,126,2,4
1019,104,24,5
1020,215,22,5
1021,216,16,4
1022,132,27,9
1023,116,27,6
1024,75,17,1
1025,97,24,5
1026,42,26,2
1027,168,11,4
1028,245,11,3
1029,134,6,1
1030,65,1,5
1031,256,8,3
1032,292,14,1
1033,159,5,6
1034,94,29,5
1035,30,26,2
1036,113,14,6
1037,134,6,2
1038,246,13,8
1039,97,5,3
1040,185,32,3
1041,88,29,7
1042,37,12,5
1043,281,1,7
1044,289,8,7
1045,50,2,4
1046,237,15,4
1047,59,2,3
1048,91,17,3
1049,245,4,9
1050,132,1,4
1051,286,16,8
1052,3,14,3
1053,232,21,7
1054,39,19,6
1055,283,10,1
1056,40,20,8
1057,81,27,9
1058,195,30,3
1059,101,27,9
1060,114,12,4
1061,273,30,9
1062,254,28,8
1063,119,19,8
1064,268,1,5
1065,23,29,9
1066,253,32,3
1067,142,21,4
1068,77,6,8
1069,56,10,4
1070,232,10,4
1071,136,30,9
1072,19,20,1
1073,146,2,1
1074,33,9,6
1075,59,7,6
1076,136,10,4
1077,197,12,6
1078,141,25,9
1079,91,10,3
1080,231,17,1
1081,41,5,2
1082,213,29,8
1083,156,32,4
1084,150,20,4
1085,65,8,5
1086,216,19,5
1087,224,2,3
1088,239,21,7
1089,189,17,2
1090,267,23,2
1091,123,28,9
1092,158,11,9
1093,168,19,4
1094,211,28,7
1095,5,20,2
1096,21,5,3
1097,122,17,9
1098,267,2,8
1099,29,5,3
1100,132,11,8
1101,16,25,6
1102,48,13,7
1103,221,23,1
1104,234,22,2
1105,152,13,9
1106,262,20,9
1107,207,13,8
1108,254,26,8
1109,76,12,2
1110,162,28,3
1111,108,25,1
1112,108,30,7
1113,233,11,6
1114,109,3,7
1115,56,31,2
1116,150,14,3
1117,143,31,9
1118,3,32,5
1119,129,19,8
1120,126,5,3
1121,185,19,1
1122,64,31,2
1123,280,25,2
1124,107,6,4
1125,143,5,4
1126,250,1,3
1127,129,20,3
1128,254,6,3
1129,105,7,2
1130,48,2,1
1131,234,25,5
1132,45,10,9
1133,51,18,4
1134,225,4,6
1135,221,19,9
1136,194,29,8
1137,3,12,1
1138,108,13,5
1139,280,21,8
1140,151,5,7
1141,3,23,1
1142,273,22,9
1143,147,7,4
1144,83,15,8
1145,271,4,3
1146,68,19,4
1147,286,7,4
1148,146,31,6
1149,108,15,7
1150,283,27,4
1151,266,11,9
1152,152,25,9
1153,166,15,6
1154,145,9,7
1155,79,7,6
1156,135,16,7
1157,117,15,6
1158,25,6,2
1159,135,31,9
1160,207,9,2
1161,109,12,2
1162,246,19,1
1163,31,19,3
1164,265,6,5
1165,281,6,8
1166,96,29,7
1167,72,1,9
1168,51,12,8
1169,187,2,8
1170,220,20,5
1171,187,22,8
1172,121,19,1
1173,137,7,3
1174,85,18,4
1175,220,31,6
1176,102,8,7
1177,189,31,2
1178,262,9,6
1179,264,30,7
1180,199,25,4
1181,8,19,8
1182,115,9,8
1183,27,28,4
1184,241,9,8
1185,84,21,1
1186,65,32,3
1187,234,25,6
1188,198,14,9
1189,28,10,7
1190,146,17,4
1191,118,3,2
1192,51,19,2
1193,237,8,5
1194,176,10,2
1195,77,28,1
1196,197,7,4
1197,253,24,2
1198,229,8,9
1199,8,17,7
1200,128,2,8
1201,299,4,8
1202,5,1,8
1203,200,7,1
1204,141,21,4
1205,184,12,8
1206,23,16,6
1207,101,26,2
1208,83,32,5
1209,153,9,1
1210,155,2,4
1211,84,4,7
1212,135,25,4
1213,39,14,4
1214,117,4,4
1215,252,18,2
1216,192,30,4
1217,255,12,6
1218,45,28,5
1219,226,5,5
1220,267,29,1
1221,43,16,9
1222,152,19,1
1223,145,4,3
1224,89,1,4
1225,209,2,3
1226,44,19,4
1227,234,8,8
1228,287,22,2
1229,241,24,2
1230,184,7,5
1231,203,28,6
1232,119,16,4
1233,49,4,1
1234,275,20,4
1235,294,18,8
1236,6,32,5
1237,206,31,5
1238,114,4,6
1239,179,32,1
1240,104,19,2
1241,40,30,4
1242,142,14,6
1243,17,7,8
1244,128,1,7
1245,18,26,2
1246,100,24,5
1247,126,29,1
1248,128,7,1
1249,260,9,4
1250,48,24,1
1251,198,11,4
1252,1,20,1
1253,173,20,6
1254,88,10,4
1255,152,10,3
1256,44,27,8
1257,57,17,1
1258,193,31,8
1259,237,29,4
1260,226,16,4
1261,296,10,4
1262,296,6,6
1263,16,13,2
1264,178,13,8
1265,204,7,3
1266,26,9,8
1267,249,12,6
1268,291,4,8
1269,77,6,8
1270,283,17,6
1271,48,10,1
1272,287,12,3
1273,139,4,2
1274,130,3,9
1275,296,6,4
1276,159,6,5
1277,14,29,4
1278,198,5,4
1279,174,3,3
1280,94,16,6
1281,175,21,5
1282,1,13,8
1283,154,32,5
1284,193,29,8
1285,122,13,1
1286,229,7,4
1287,284,4,2
1288,166,3,5
1289,259,22,5
1290,23,22,7
1291,119,17,9
1292,250,24,1
1293,2,14,8
1294,121,32,9
1295,97,16,4
1296,104,31,7
1297,97,26,4
1298,297,17,3
1299,261,26,7
1300,56,23,7
1301,224,3,4
1302,34,29,9
1303,171,21,2
1304,129,30,4
1305,97,32,4
1306,267,3,2
1307,262,5,1
1308,146,13,1
1309,168,17,4
1310,46,18,6
1311,13,30,5
1312,81,30,5
1313,61,14,8
1314,122,14,3
1315,212,12,1
1316,125,19,6
1317,13,14,2
1318,224,30,3
1319,2,23,1
1320,200,28,4
1321,3,19,2
1322,55,32,4
1323,48,28,3
1324,15,19,5
1325,112,17,9
1326,217,30,9
1327,111,25,9
1328,35,20,2
1329,53,31,2
1330,224,16,8
1331,107,20,1
1332,191,13,8
1333,271,22,1
1334,98,22,3
1335,35,10,8
1336,88,25,5
1337,189,6,4
1338,17,17,5
1339,117,17,4
1340,216,9,7
1341,34,1,7
1342,253,2,1
1343,268,12,4
1344,250,9,9
1345,2,25,5
1346,208,4,7
1347,206,26,2
1348,200,32,9
1349,124,27,7
1350,47,6,6
1351,55,27,8
1352,10,21,2
1353,273,8,8
1354,26,15,9
1355,114,15,8
1356,222,25,1
1357,216,30,3
1358,113,11,9
1359,19,24,2
1360,31,5,4
1361,160,2,6
1362,94,19,5
1363,285,3,4
1364,164,26,1
1365,145,23,7
1366,136,20,5
1367,146,30,3
1368,295,13,2
1369,134,16,7
1370,108,26,9
1371,196,7,6
1372,135,31,5
1373,54,10,5
1374,286,8,9
1375,189,9,7
1376,45,11,1
1377,216,32,9
1378,214,1,3
1379,210,2,3
1380,282,2,2
1381,72,21,9
1382,128,14,4
1383,254,19,5
1384,149,3,9
1385,153,24,6
1386,258,15,2
1387,46,26,3
1388,47,3,8
1389,220,24,2
1390,259,28,9
1391,198,9,1
1392,166,14,5
1393,299,7,5
1394,234,19,2
1395,88,13,2
1396,110,28,3
1397,202,25,7
1398,97,31,9
1399,202,8,1
1400,62,2,4
1401,203,28,2
1402,237,5,9
1403,249,16,9
1404,109,14,2
1405,11,30,9
1406,1,26,7
1407,64,20,1
1408,208,3,5
1409,208,7,9
1410,240,3,2
1411,293,2,6
1412,166,30,4
1413,154,5,8
1414,94,25,2
1415,106,9,1
1416,111,7,9
1417,118,22,7
1418,13,4,1
1419,157,11,1
1420,128,21,1
1421,88,2,9
1422,21,3,2
1423,181,29,3
1424,23,22,7
1425,238,31,4
1426,71,8,8
1427,81,17,7
1428,237,27,5
1429,8,31,8
1430,146,30,5
1431,168,31,4
1432,65,21,3
1433,52,21,9
1434,141,29,9
1435,123,24,5
1436,260,24,1
1437,242,21,3
1438,101,31,7
1439,267,29,4
1440,207,27,6
1441,206,22,3
1442,271,1,3
1443,126,16,9
1444,93,16,4
1445,157,2,8
1446,6,22,3
1447,297,9,9
1448,229,5,1
1449,187,23,2
1450,264,23,5
1451,288,4,7
1452,17,18,3
1453,169,26,7
1454,161,31,5
1455,4,4,3
1456,106,6,3
1457,155,30,7
1458,25,3,3
1459,210,28,6
1460,143,21,4
1461,30,31,7
1462,224,22,8
1463,141,32,3
1464,119,5,3
1465,77,28,5
1466,140,8,9
1467,50,3,3
1468,4,3,6
1469,196,1,4
1470,42,31,9
1471,288,30,9
1472,208,3,2
1473,182,10,9
1474,235,1,8
1475,189,8,6
1476,147,18,2
1477,265,31,8
1478,43,2,7
1479,221,13,3
1480,207,16,7
1481,112,26,3
1482,226,18,9
1483,238,14,9
1484,198,28,7
1485,285,14,2
1486,242,1,8
1487,175,16,2
1488,259,32,7
1489,234,23,1
1490,133,21,9
1491,210,23,2
1492,45,23,7
1493,110,13,2
1494,50,15,8
1495,60,22,1
1496,8,29,9
1497,236,15,4
1498,164,5,4
1499,2,19,9
1500,201,4,8
1501,73,27,3
1502,160,22,7
1503,296,14,8
1504,42,28,3
1505,93,10,8
1506,35,29,2
1507,44,24,5
1508,142,11,3
1509,53,12,5
1510,108,4,8
1511,177,18,3
1512,119,28,6
1513,109,29,3
1514,57,32,3
1515,241,20,6
1516,182,8,2
1517,236,24,2
1518,176,18,4
1519,262,6,8
1520,102,13,4
1521,207,7,2
1522,107,8,6
1523,89,17,4
1524,29,6,8
1525,58,12,8
1526,266,28,5
1527,262,30,5
1528,60,8,8
1529,129,4,5
1530,248,6,2
1531,101,30,2
1532,75,21,5
1533,103,8,7
1534,58,11,7
1535,238,18,7
1536,27,1,9
1537,201,17,4
1538,277,20,3
1539,89,4,8
1540,293,25,1
1541,201,24,4
1542,220,28,7
1543,1,5,2
1544,296,31,5
1545,241,12,7
1546,220,29,2
1547,23,9,8
1548,263,30,1
1549,18,31,8
1550,7,11,1
1551,121,22,7
1552,230,13,6
1553,215,27,7
1554,60,17,1
1555,80,24,1
1556,153,12,3
1557,155,18,8
1558,95,18,7
1559,13,14,6
1560,188,31,1
1561,300,3,8
1562,18,29,6
1563,255,12,9
1564,222,32,8
1565,98,22,9
1566,77,22,7
1567,10,24,3
1568,86,32,4
1569,138,22,3
1570,195,2,6
1571,172,9,2
1572,17,19,9
1573,146,11,5
1574,126,24,8
1575,243,4,3
1576,176,16,3
1577,195,19,5
1578,10,18,2
1579,8,8,3
1580,281,9,7
1581,268,22,3
1582,183,22,1
1583,168,2,7
1584,87,11,7
1585,125,27,1
1586,207,13,6
1587,115,12,3
1588,290,24,9
1589,200,16,9
1590,251,20,3
1591,140,2,9
1592,140,9,7
1593,27,24,2
1594,92,32,1
1595,117,17,9
1596,251,25,3
1597,17,16,2
1598,45,12,9
1599,218,19,1
1600,22,18,6
1601,33,13,2
1602,243,24,8
1603,48,14,7
1604,89,1,1
1605,77,2,4
1606,215,27,4
1607,114,21,3
1608,268,21,3
1609,134,30,3
1610,251,29,3
1611,42,19,2
1612,92,31,8
1613,157,26,1
1614,179,31,4
1615,263,15,6
1616,103,32,4
1617,5,10,7
1618,218,16,1
1619,119,25,1
1620,81,2,1
1621,133,20,2
1622,264,2,3
1623,115,8,2
1624,265,13,6
1625,148,3,5
1626,168,8,4
1627,247,2,3
1628,217,16,1
1629,188,26,9
1630,122,1,4
1631,220,10,1
1632,185,19,1
1633,87,28,1
1634,105,12,1
1635,138,17,3
1636,238,19,6
1637,249,22,5
1638,262,11,3
1639,109,11,8
1640,267,26,9
1641,167,3,7
1642,156,8,2
1643,34,18,2
1644,54,7,8
1645,265,26,4
1646,275,18,9
1647,249,25,7
1648,53,4,2
1649,209,19,5
1650,241,16,3
1651,222,22,4
1652,293,26,5
1653,109,26,6
1654,55,18,2
1655,129,25,7
1656,26,12,6
1657,219,8,8
1658,54,26,9
1659,114,29,9
1660,66,30,1
1661,159,26,9
1662,33,17,5
1663,32,9,2
